,id,skill,category,confidence score
149,4133581885.0,c#,Skill,1.0
150,4133581885.0,c++,Skill,1.0
151,4122335668.0,customers,PersonType,0.98
152,4122335668.0,consultants,PersonType,0.99
153,4122335668.0,business,Skill,0.66
154,4122335668.0,data,Skill,0.52
155,4122335668.0,systems,Skill,0.81
156,4122335668.0,data driven,Skill,0.8
157,4122335668.0,ambassador,PersonType,0.87
158,4122335668.0,role model,PersonType,0.58
159,4122335668.0,data exploration,Skill,0.89
160,4122335668.0,predictive,Skill,0.67
161,4122335668.0,coach,Skill,0.86
162,4122335668.0,data scientists,PersonType,0.94
163,4122335668.0,analysts,PersonType,0.97
164,4122335668.0,5,Quantity,0.8
165,4122335668.0,data science,Skill,0.97
166,4122335668.0,degree,Quantity,0.8
167,4122335668.0,data,Skill,0.54
168,4122335668.0,analytical,Skill,0.73
169,4122335668.0,data,Skill,0.64
170,4122335668.0,communicate,Skill,0.87
171,4122335668.0,strategies,Skill,0.79
172,4122335668.0,creative,Skill,0.91
173,4122335668.0,data,Skill,0.67
174,4122335668.0,communication,Skill,0.86
175,4122335668.0,python,Product,0.48
176,4122335668.0,scala,Product,0.43
177,4122335668.0,sagemaker,Organization,0.62
178,4122335668.0,databricks,Product,0.89
179,4122335668.0,budget,Skill,0.68
180,4122335668.0,training,Skill,0.67
181,4122335668.0,support,Skill,0.4
182,4165170932.0,degree,Quantity,0.8
183,4165170932.0,mathematics,Skill,0.99
184,4165170932.0,statistics,Skill,1.0
185,4165170932.0,economics,Skill,1.0
186,4165170932.0,statistician,PersonType,0.97
187,4165170932.0,data analyst,PersonType,0.88
188,4165170932.0,mathematician,PersonType,0.97
189,4165170932.0,evaluating,Skill,0.8
190,4165170932.0,probabilities,Skill,0.83
191,4165170932.0,statistics,Skill,0.97
192,4165170932.0,statistical modeling,Skill,0.99
193,4165170932.0,graphic analysis,Skill,0.93
194,4165170932.0,charts,Skill,0.66
195,4165170932.0,interpret data,Skill,0.77
196,4165170932.0,analyze,Skill,0.87
197,4165170932.0,statistical techniques,Skill,0.78
198,4165170932.0,data sets,Skill,0.85
199,4164872960.0,scientific,Skill,0.94
200,4164872960.0,analytics,Skill,1.0
201,4164872960.0,visualization,Skill,0.99
202,4164872960.0,python,Skill,0.99
203,4164872960.0,python,Product,0.51
204,4164375366.0,algorithm,Skill,0.97
205,4164375366.0,algorithms,Skill,1.0
206,4164375366.0,analysis,Skill,0.99
207,4164375366.0,time series models,Skill,1.0
208,4164375366.0,machine learning,Skill,0.99
209,4164375366.0,modelling,Skill,1.0
210,4164375366.0,analytics,Skill,1.0
211,4164375366.0,data science,Skill,0.98
212,4164375366.0,designing,Skill,0.97
213,4164375366.0,implementing,Skill,0.9
214,4164375366.0,frameworks,Skill,0.98
215,4164375366.0,msc,PersonType,0.5
216,4164375366.0,statistics,Skill,0.98
217,4164375366.0,applied mathematics,Skill,0.98
218,4164375366.0,computer science,Skill,0.99
219,4164375366.0,physics,Skill,0.98
220,4164375366.0,oxford,Organization,0.86
221,4164375366.0,cambridge,Organization,0.77
222,4164375366.0,harvard,Organization,0.81
223,4164375366.0,statistical modelling,Skill,1.0
224,4164375366.0,data science,Skill,0.94
225,4164375366.0,ml,Quantity,0.8
226,4164375366.0,time series analysis,Skill,0.99
227,4164375366.0,outlier detection,Skill,0.96
228,4164375366.0,python,Skill,0.62
229,4164375366.0,libraries,Location,0.53
230,4164375366.0,r,Skill,0.7
231,4163539797.0,algorithmic r&d,Skill,0.99
232,4163539797.0,speech,Skill,0.94
233,4163539797.0,vision data,Skill,0.93
234,4163539797.0,ml,Quantity,0.8
235,4163539797.0,video analytics,Skill,0.98
236,4163539797.0,analytics.work,Organization,0.9
237,4163539797.0,data,Skill,0.82
238,4163539797.0,customers,PersonType,0.95
239,4163539797.0,constraints.work,Organization,0.9
240,4163539797.0,product,Skill,0.6
241,4163539797.0,engineering,Skill,0.95
242,4163539797.0,designing,Skill,0.98
243,4163539797.0,implementing,Skill,0.9
244,4163539797.0,cs,Skill,0.94
245,4163539797.0,physics,Skill,0.99
246,4163539797.0,7 years,DateTime,0.8
247,4163539797.0,machine learning,Skill,0.99
248,4163539797.0,data mining theory,Skill,0.99
249,4163539797.0,algorithms,Skill,0.99
250,4163539797.0,algorithm development,Skill,0.99
251,4163539797.0,algorithmic coding,Skill,0.99
252,4163539797.0,real data testing,Skill,0.88
253,4163539797.0,programming,Skill,0.93
254,4163539797.0,python,Skill,1.0
255,4163539797.0,c#,Skill,1.0
256,4163539797.0,c++,Skill,1.0
257,4163539797.0,java,Skill,1.0
258,4163539797.0,collaborative technical,Skill,0.59
259,4163539797.0,implementation,Skill,0.83
260,4163539797.0,communication,Skill,0.83
261,4163539797.0,customers,PersonType,0.88
262,4163539797.0,team,PersonType,0.59
263,4163539797.0,player,PersonType,0.42
264,4199598495.0,degree,Quantity,0.8
265,4199598495.0,systems biology,Skill,0.97
266,4199598495.0,data science,Skill,1.0
267,4199598495.0,engineering,Skill,1.0
268,4199598495.0,modeling,Skill,0.89
269,4199598495.0,applied mathematics,Skill,0.98
270,4199598495.0,physics,Skill,0.99
271,4199598495.0,research,Skill,0.71
272,4199598495.0,oncology,Skill,0.99
273,4199598495.0,drug discovery,Skill,0.75
274,4199598495.0,biological data,Skill,0.68
275,4199598495.0,genomics,Skill,0.99
276,4199598495.0,project manager,PersonType,0.91
277,4199598495.0,mentor,Skill,0.99
278,4199598495.0,motivate,Skill,0.98
279,4199598495.0,supervising,Skill,0.98
280,4199598495.0,influence,Skill,0.89
281,4199598495.0,leadership,Skill,0.98
282,4199598495.0,scientific,Skill,1.0
283,4199598495.0,technical strategy,Skill,0.99
284,4199598495.0,expert,PersonType,0.72
285,4199598495.0,analyzing data,Skill,0.82
286,4199598495.0,network,Skill,0.97
287,4199598495.0,graph representations,Skill,0.92
288,4199598495.0,statistical,Skill,0.88
289,4199598495.0,machine learning,Skill,0.96
290,4199598495.0,one,Quantity,0.8
291,4199598495.0,systems biology,Skill,0.78
292,4199598495.0,bayesian networks,Skill,0.98
293,4199598495.0,quantitative modeling,Skill,0.99
294,4199598495.0,causal reasoning.,Skill,0.88
295,4199598495.0,machine,Skill,0.99
296,4199598495.0,deep learning,Skill,0.99
297,4199598495.0,biological,Skill,0.73
298,4199598495.0,health data.,Skill,0.6
299,4199598495.0,representational learning,Skill,0.56
300,4199598495.0,graphs,Skill,0.8
301,4199598495.0,transfer learning,Skill,0.96
302,4199598495.0,machine attention,Skill,0.99
303,4199598495.0,active learning,Skill,0.96
304,4199598495.0,learning,Skill,0.84
305,4199598495.0,communication,Skill,0.97
306,4199598495.0,data,Skill,0.57
307,4199598495.0,non-expert,PersonType,0.86
308,4199598495.0,programming,Skill,0.99
309,4199598495.0,python,Skill,0.99
310,4199598495.0,r,Skill,0.86
311,4199598495.0,networked,Skill,0.71
312,4199598495.0,fair data practices,Skill,0.89
313,4199598495.0,graph data representations,Skill,0.84
314,4199598495.0,triple/quad stores,Skill,0.83
315,4199598495.0,publication,Skill,0.95
316,4199598495.0,data science,Skill,1.0
317,4199598495.0,scientific,Skill,0.84
318,4199598495.0,computational oncology,Skill,0.98
319,4199598495.0,curation,Skill,0.88
320,4199598495.0,data,Skill,0.6
321,4199598495.0,graph,Skill,0.78
322,4199598495.0,analysis,Skill,0.96
323,4199598495.0,interrogate,Skill,0.53
324,4199598495.0,insight,Skill,0.58
325,4199598495.0,research,Skill,0.99
326,4199598495.0,clinical practices,Skill,0.86
327,4199598495.0,design,Skill,0.77
328,4199598495.0,machine attention,Skill,0.97
329,4199598495.0,active learning,Skill,0.95
330,4199598495.0,reinforcement learning,Skill,0.7
331,4199598495.0,az,PersonType,0.5
332,4199598495.0,scientists,PersonType,0.65
333,4199598495.0,clinicians,PersonType,0.9
334,4199023847.0,degree,Quantity,0.8
335,4199023847.0,statistics,Skill,1.0
336,4199023847.0,machine learning,Skill,1.0
337,4199023847.0,mathematics,Skill,1.0
338,4199023847.0,computer science,Skill,1.0
339,4199023847.0,5 years,DateTime,0.8
340,4199023847.0,data science,Skill,1.0
341,4199023847.0,natural language processing,Skill,1.0
342,4199023847.0,machine learning,Skill,0.99
343,4199023847.0,data mining,Skill,1.0
344,4199023847.0,sas,Organization,0.44
345,4199023847.0,python,Organization,0.37
346,4199023847.0,predictive modeling,Skill,1.0
347,4199023847.0,linear and,Skill,0.74
348,4199023847.0,non-linear regression,Skill,0.76
349,4199023847.0,logistic regression,Skill,0.93
350,4199023847.0,time series analysis,Skill,0.75
351,4199023847.0,deep learning algorithm,Skill,0.89
352,4199023847.0,unstructured data,Skill,1.0
353,4199023847.0,cleaning,Skill,0.97
354,4199023847.0,manipulating data,Skill,0.93
355,4199023847.0,communication,Skill,0.99
356,4199023847.0,junior data,PersonType,0.61
357,4199023847.0,data science,Skill,0.83
358,4199023847.0,personnel,PersonType,0.56
359,4199023847.0,reporting services,Skill,0.84
360,4199023847.0,analysis services,Skill,0.93
361,4199023847.0,integration services,Skill,0.58
362,4199023847.0,salesforce,Organization,0.44
363,4199023847.0,data visualization,Skill,0.87
364,4199023847.0,22,Quantity,0.8
365,4199023847.0,one,Quantity,0.8
366,4199023847.0,15 days,DateTime,0.8
367,4199023847.0,christmas,Event,0.55
368,4199023847.0,christmas,DateTime,0.8
369,4199023847.0,food coupons,Product,0.9
370,4199023847.0,trainings,Skill,0.86
371,4199023847.0,certification,Skill,0.98
372,4199023847.0,daily,DateTime,0.8
373,4199023847.0,coffee,Product,1.0
374,4199023847.0,game,Location,0.47
375,4199023847.0,room,Product,0.76
376,4199023847.0,snacks,Product,0.92
377,4199023847.0,relocation,Skill,0.94
378,4199023847.0,support,Skill,0.39
379,4209704387.0,customers,PersonType,0.97
380,4209704387.0,impact,Organization,0.33
381,4209704387.0,change,Event,0.34
382,4209704387.0,4,Quantity,0.8
383,4209704387.0,machine learning,Skill,1.0
384,4209704387.0,machine learning,Skill,0.97
385,4209704387.0,algorithms,Skill,1.0
386,4209704387.0,deep learning,Skill,0.99
387,4209704387.0,cnns,Skill,0.98
388,4209704387.0,spatial data,Skill,0.99
389,4209704387.0,one,Quantity,0.8
390,4209704387.0,machine learning,Skill,0.99
391,4209704387.0,frameworks,Skill,0.52
392,4209704387.0,libraries,Product,0.73
393,4209704387.0,etl,Skill,0.96
394,4209704387.0,data processing,Skill,0.97
395,4209704387.0,transformation,Skill,0.99
396,4209704387.0,cleaning,Skill,0.94
397,4209704387.0,data warehousing,Skill,0.93
398,4209704387.0,statistics,Skill,0.51
399,4209704387.0,distributions,Skill,0.59
400,4209704387.0,statistical testing,Skill,0.97
401,4209704387.0,regression,Skill,0.99
402,4209704387.0,probability methods,Skill,0.8
403,4209704387.0,conditional probability,Skill,0.57
404,4209704387.0,time series analysis,Skill,0.78
405,4209704387.0,software engineering,Skill,0.85
406,4209704387.0,data structures,Skill,0.94
407,4209704387.0,algorithms,Skill,0.99
408,4209704387.0,computability,Skill,0.73
409,4209704387.0,communication,Skill,0.83
410,4209704387.0,bachelors,PersonType,0.63
411,4209704387.0,statistics,Skill,0.98
412,4209704387.0,operations research,Skill,0.98
413,4209704387.0,computer science,Skill,0.98
414,4209704387.0,multivariable calculus,Skill,0.99
415,4209704387.0,linear algebra,Skill,0.97
416,4209704387.0,sets,Skill,0.74
417,4209704387.0,big,Skill,0.7
418,4209704387.0,hadoop hdfs,Organization,0.59
419,4209704387.0,cloud computing,Skill,0.93
420,4197200540.0,tensorflows,Skill,0.69
421,4197200540.0,tensorflows,Product,0.85
422,4197200540.0,pytorch,Skill,0.73
423,4197200540.0,pytorch,Product,0.96
424,4197200540.0,keras,Skill,0.93
425,4197200540.0,keras,Product,0.94
426,4197200540.0,pyspark,Organization,0.52
427,4198136920.0,data science,Skill,0.91
428,4198136920.0,dataset,Skill,0.75
429,4198136920.0,economic,Skill,0.92
430,4198136920.0,passengers,PersonType,0.98
431,4198136920.0,drivers,PersonType,0.96
432,4198136920.0,65,Quantity,0.8
433,4198136920.0,validate,Skill,0.54
